Hotelling T2         	sum-squared residuals  	
 7.254458049873E-01  	 1.877646912461E+06    	
 6.517368705359E+00  	 4.622326484925E+06    	
 7.168084338806E+00  	 8.185754565003E+06    	
 8.452830649111E-02  	 5.066663283296E+04    	
 1.327071466962E+00  	 3.700419164920E+06    	
 5.233952633090E-01  	 4.581408755551E+05    	
 5.817383613834E+00  	 4.065124585200E+07    	
 1.110537826882E+00  	 4.844886209340E+05    	
 1.474666023677E+00  	 3.844861900668E+06    	
 6.978772227108E+00  	 5.727916786783E+06    	
 1.170088825038E+00  	 4.447889428343E+05    	
 1.265115412971E+00  	 7.391797574925E+05    	
 1.290239055605E-01  	 6.748098557024E+04    	
 7.825874611990E+00  	 1.677492554063E+07    	
 2.742404907101E-01  	 5.687829885224E+05    	
 3.248087805089E-01  	 7.492219084453E+05    	
 2.718265059626E+00  	 2.088406114638E+06    	
 1.201987473980E+02  	 2.993022985932E+08    	
 9.268091205036E-01  	 2.985977734345E+06    	
 6.005126687587E-02  	 7.725590951318E+04    	
 4.099173581520E+00  	 5.821877338701E+06    	
 1.353844731511E-01  	 5.282170871575E+05    	
 2.176007128710E+01  	 1.496408585331E+07    	
 1.158108517253E+00  	 1.324889177370E+06    	
 9.431542286569E-02  	 5.788903112510E+05    	
 2.257565574559E+01  	 1.927966312866E+07    	
 1.976052226583E+00  	 5.826886570836E+06    	
 2.206515455163E+00  	 1.680971922074E+06    	
 6.068773315326E-02  	 6.038541937641E+05    	
 2.289667369943E+00  	 3.975803338947E+06    	
 7.859662798612E+00  	 1.288855185386E+07    	
 1.108020177555E+02  	 4.762759901970E+07    	
 3.269445458726E+00  	 2.513800507317E+06    	
 5.201796171873E-01  	 2.990374291994E+05    	
 3.941215003717E+00  	 3.590414596806E+06    	
 1.106192349774E+00  	 3.771356182946E+06    	
 8.460537608007E+00  	 1.201199749542E+07    	
 2.478914937354E+00  	 2.819351944020E+06    	
 5.892778316571E-01  	 1.284493360253E+06    	
 8.862636689046E-02  	 2.518074877442E+05    	
 1.260170448638E-01  	 9.951191848165E+05    	
 6.250938972189E-01  	 7.883616622635E+05    	
 1.355271763674E-02  	 3.541112085502E+04    	
 6.633302273112E-01  	 2.660285027738E+06    	
 9.781140079065E-01  	 2.478423604404E+06    	
 3.526462028229E-01  	 2.540716478864E+05    	
 4.723201385265E+01  	 5.157955096742E+07    	
 1.554484145459E-01  	 1.448885896574E+05    	
 4.110650516727E-01  	 3.837073873706E+05    	
 1.939115321528E-01  	 4.463831284529E+05    	
 2.395938907333E-01  	 3.767075618226E+05    	
 2.268329470951E-01  	 8.961324068153E+05    	
 1.271520943701E+00  	 1.550261294848E+06    	
 5.424493827499E+01  	 5.710750024607E+07    	
 5.282012894808E+01  	 1.749362004998E+07    	
 1.040084629730E-01  	 3.210731491988E+05    	
 5.078400186136E-01  	 1.229422944668E+06    	
 2.775845359884E+00  	 1.568588865015E+06    	
 1.942478022451E-01  	 3.090604096915E+05    	
 4.351459950558E-01  	 5.738829366871E+05    	
 5.363158686344E-01  	 1.615065827107E+06    	
 1.506204727046E-01  	 9.222202084770E+04    	
 3.100939371240E-01  	 1.308880412934E+05    	
 1.805042211792E+00  	 4.805389604107E+06    	
 1.812242140927E+01  	 1.599568164038E+07    	
 1.168343634908E+00  	 1.920479590560E+06    	
 5.142307519724E+00  	 1.678675441173E+07    	
 4.238895977742E-01  	 1.327224577851E+06    	
 5.018673739192E+00  	 5.647302410924E+06    	
 7.568220783052E-01  	 3.680215565419E+06    	
 2.572529872095E+00  	 1.457877521747E+07    	
 2.696003725207E+00  	 3.663027235516E+06    	
 1.143388250575E+00  	 1.871915548843E+06    	
 2.931053569072E-01  	 2.130425147729E+05    	
 3.286748930898E+00  	 1.619954862366E+07    	
 8.313833335892E+00  	 5.717931419751E+06    	
 4.257983662633E-01  	 2.917812247854E+05    	
 2.562231387735E+01  	 3.386285381982E+06    	
 4.667400122605E+00  	 3.647148873325E+06    	
 1.086025121152E+01  	 2.275295826340E+07    	
 6.427983368907E-02  	 5.094227338652E+05    	
 5.468381869870E+00  	 5.225683248929E+06    	
 6.047416972334E+00  	 1.354922334427E+07    	
 1.140365938124E+00  	 8.715717146776E+05    	
 4.373145759136E+00  	 2.834677740215E+06    	
 1.114566289285E+00  	 2.237197684715E+06    	
 1.466733089960E+00  	 5.552062558834E+05    	
 1.927035178064E-01  	 3.159880150827E+05    	
 1.008763508884E-01  	 8.380395670648E+04    	
 1.258834556378E+01  	 3.100456123585E+06    	
 2.345756393500E+01  	 5.804177332180E+07    	
 8.371182530225E+00  	 2.786121766428E+07    	
 6.659380456068E+00  	 2.566223967689E+07    	
 8.739557010038E-01  	 1.320816173480E+06    	
 3.925911033733E+00  	 2.715028000390E+06    	
 3.966982140613E-01  	 5.598674625702E+05    	
 1.112812678666E-01  	 3.663734199988E+05    	
 9.590628173574E-01  	 1.546104921875E+06    	
 1.332536266555E-01  	 2.508760183243E+05    	
 2.216444377669E-01  	 2.109068978864E+05    	
 6.803797684195E-02  	 5.551190775157E+04    	
 2.226876162659E+01  	 6.730684100276E+07    	
 1.682985824185E-01  	 1.908001472131E+06    	
 7.005369110705E+00  	 2.465804175963E+07    	
 1.815668745634E-01  	 1.276683644803E+05    	
 1.276757326000E+01  	 4.593815839182E+07    	
 1.893614731419E-01  	 7.759487812692E+04    	
 2.781448365077E-05  	 7.401389063325E+02    	
 2.911897619384E+01  	 1.643625161838E+07    	
 1.634671169861E+02  	 8.114240410386E+07    	
 6.792169846018E-05  	 4.493817326730E+03    	
 5.962548790553E+01  	 1.988901201809E+07    	
 1.472512037200E+01  	 1.084922477391E+07    	
 2.883788712058E+01  	 9.615845886361E+06    	
 2.183026312283E+00  	 1.305729863233E+06    	
 5.842753537082E+00  	 1.570418998190E+07    	
 2.207559646110E-04  	 6.103236115663E+03    	
 1.009370230726E+00  	 9.972849516010E+05    	
 1.104355062839E-01  	 1.465967097587E+06    	
 1.802394971626E-02  	 1.883836547838E+05    	
 1.631921186024E-02  	 1.886447855779E+05    	
 6.831130970869E-01  	 2.370441453305E+06    	
 1.686059199319E-01  	 1.192932111195E+05    	
 1.273659781193E-01  	 7.126385007446E+04    	
 4.316029100787E-01  	 1.230586673973E+06    	
 4.629889231599E-02  	 7.486860527738E+04    	
 2.688048397590E+01  	 7.984356741563E+07    	
 9.451543912124E-05  	 1.253744613182E+03    	
 5.148315713635E-05  	 5.007311998214E+02    	
 9.164528802122E-01  	 7.379615915311E+05    	
 6.747811596207E-01  	 6.688211243959E+06    	
 7.423426002180E-02  	 3.736673860970E+05    	
 1.063903051821E-01  	 1.325792166631E+06    	
 1.076007584489E-02  	 2.594589873059E+04    	
 4.306969767565E-03  	 7.198634201173E+03    	
 1.813318753458E-04  	 4.919951022616E+03    	
 1.967482833669E-03  	 1.307041721420E+04    	
 4.313192220736E+00  	 1.997012717461E+07    	
 2.202500763518E-04  	 4.961669336885E+03    	
 3.249405994060E-05  	 1.684742638524E+03    	
 2.624374136926E+00  	 9.894684560070E+06    	
 4.613844860378E-01  	 1.890054078198E+06    	
 4.989462559262E+01  	 6.878970445508E+07    	
 1.956705994432E+00  	 1.334553498616E+06    	
 1.539934909662E+01  	 3.862214379302E+07    	
 1.072644883400E-03  	 3.520824946915E+03    	
 7.147237507873E+00  	 2.205102419403E+07    	
 2.457024541023E+00  	 1.502310928202E+07    	
